,N,t,CD_mse,DS_mse,GPA_CD_mse,GPA_DS_mse,CD_time,DS_time,GPA_CD_time,GPA_DS_time
62,100,62,0.12236681,0.017974298,0.121699974,0.01798593,0.3943926334381103,0.39578549861907975,0.0005426692962646486,0.0004969835281372068
63,100,63,0.10613544,0.016007971,0.10562951,0.01612644,0.4179004120826722,0.41931020736694347,0.0005384063720703127,0.0004949641227722168
64,100,64,0.11864981,0.016422825,0.11772773,0.016236626,0.3962144041061402,0.3976232266426086,0.0005522346496582029,0.0005083632469177246
65,100,65,0.11704964,0.017245663,0.116446495,0.017312735,0.40328562498092657,0.40470113039016714,0.0005414319038391112,0.0004950213432312013
66,100,66,0.12454473,0.017255992,0.12371347,0.017125338,0.3869042277336123,0.3882702326774597,0.0005301547050476072,0.0004877948760986325
67,100,67,0.12011341,0.016597874,0.11935923,0.01653498,0.4048291134834289,0.40620975255966196,0.0005398488044738768,0.0004925704002380371
68,100,68,0.1233102,0.018006504,0.12249838,0.017893609,0.38277056932449344,0.3841352772712707,0.0005285191535949707,0.0004850268363952638
69,100,69,0.114619784,0.017975992,0.11379865,0.017705057,0.3941159749031067,0.39552355051040666,0.0005477809906005859,0.0004987740516662597
70,100,70,0.11800009,0.01639531,0.117289826,0.016326174,0.41618937492370617,0.41763839721679685,0.0005653715133666994,0.0005181407928466799
71,100,71,0.10824485,0.015843602,0.10757666,0.015784439,0.4266204714775085,0.4280822348594667,0.0005730581283569338,0.0005267953872680665
72,100,72,0.1203099,0.015993644,0.11953909,0.015944283,0.4156272673606874,0.417038788795471,0.0005545544624328615,0.0005086779594421386
73,100,73,0.11730012,0.016778665,0.116621435,0.016759746,0.4119427156448366,0.4133254456520083,0.0005463862419128421,0.0005039691925048827
74,100,74,0.113995194,0.016236419,0.113289475,0.016191572,0.4654312133789062,0.46689732074737567,0.0005911540985107423,0.0005446410179138182
75,100,75,0.112081975,0.017266829,0.111705594,0.017506434,0.4768672370910644,0.47833965301513687,0.0005874276161193851,0.0005382990837097166
